Test Case ID,Test Case Description,Optimization Level,Clarity Score,Granularity Score,Reuse Score,Performance Score
TC_PR_048,"Given the user is on the checkout page
When the user enters valid payment details
And confirms the payment
Then the payment should be processed successfully
And the user should see a confirmation message",Properly Optimized,9,9,8,9
TC_PR_071,"Given the user is on the login page
When the user enters valid credentials
And clicks the login button
Then the user should be redirected to the dashboard
And see a welcome message",Properly Optimized,9,9,9,8
TC_PO_030,"Settings page
Change profile
Save changes
Profile updated",Poorly Optimized,3,1,2,1
TC_PR_024,"Given the user is on the registration page
When the user fills in all required fields
And submits the form
Then the user should be registered successfully
And receive a welcome email",Properly Optimized,8,8,8,8
TC_MO_037,"Given the user is on the product page
When the user adds a product to the cart
Then the product should appear in the cart",Moderately Optimized,5,6,6,5
TC_PR_090,"Given the user is on the settings page
When the user updates their profile information
And saves the changes
Then the profile should be updated
And the user should see a success message",Properly Optimized,9,8,9,9
TC_PR_019,"Given the user is on the registration page
When the user fills in all required fields
And submits the form
Then the user should be registered successfully
And receive a welcome email",Properly Optimized,9,8,8,9
TC_MO_007,"Given the user is on the product page
When the user adds a product to the cart
Then the product should appear in the cart",Moderately Optimized,6,5,6,5
TC_PR_074,"Given the user is on the registration page
When the user fills in all required fields
And submits the form
Then the user should be registered successfully
And receive a welcome email",Properly Optimized,9,9,9,8
TC_PR_011,"Given the user is on the login page
When the user enters valid credentials
And clicks the login button
Then the user should be redirected to the dashboard
And see a welcome message",Properly Optimized,9,9,8,9
TC_PR_069,"Given the user is on the registration page
When the user fills in all required fields
And submits the form
Then the user should be registered successfully
And receive a welcome email",Properly Optimized,9,8,9,9
TC_PR_053,"Given the user is on the checkout page
When the user enters valid payment details
And confirms the payment
Then the payment should be processed successfully
And the user should see a confirmation message",Properly Optimized,8,9,9,8
TC_PR_037,"Given the user is on the product page
When the user selects a product
And clicks the add to cart button
Then the product should be added to the cart
And the cart count should increase by one",Properly Optimized,9,8,8,8
TC_PR_039,"Given the user is on the registration page
When the user fills in all required fields
And submits the form
Then the user should be registered successfully
And receive a welcome email",Properly Optimized,9,9,9,8
TC_PR_029,"Given the user is on the registration page
When the user fills in all required fields
And submits the form
Then the user should be registered successfully
And receive a welcome email",Properly Optimized,8,8,9,8
TC_PR_018,"Given the user is on the checkout page
When the user enters valid payment details
And confirms the payment
Then the payment should be processed successfully
And the user should see a confirmation message",Properly Optimized,8,8,8,8
TC_PR_072,"Given the user is on the product page
When the user selects a product
And clicks the add to cart button
Then the product should be added to the cart
And the cart count should increase by one",Properly Optimized,8,8,8,8
TC_PR_063,"Given the user is on the checkout page
When the user enters valid payment details
And confirms the payment
Then the payment should be processed successfully
And the user should see a confirmation message",Properly Optimized,9,9,8,9
TC_PR_064,"Given the user is on the registration page
When the user fills in all required fields
And submits the form
Then the user should be registered successfully
And receive a welcome email",Properly Optimized,9,9,9,8
TC_PR_051,"Given the user is on the login page
When the user enters valid credentials
And clicks the login button
Then the user should be redirected to the dashboard
And see a welcome message",Properly Optimized,9,8,8,9
TC_PR_028,"Given the user is on the checkout page
When the user enters valid payment details
And confirms the payment
Then the payment should be processed successfully
And the user should see a confirmation message",Properly Optimized,9,9,9,8
TC_PR_059,"Given the user is on the registration page
When the user fills in all required fields
And submits the form
Then the user should be registered successfully
And receive a welcome email",Properly Optimized,9,9,9,8
TC_PO_018,"Checkout page
Enter payment
Payment done",Poorly Optimized,3,2,2,2
TC_PR_095,"Given the user is on the settings page
When the user updates their profile information
And saves the changes
Then the profile should be updated
And the user should see a success message",Properly Optimized,9,8,9,9
TC_PO_031,"Go to login page
Enter details
Click login
Should login",Poorly Optimized,2,2,3,2
TC_MO_022,"Given the user is on the product page
When the user adds a product to the cart
Then the product should appear in the cart",Moderately Optimized,5,6,6,5
TC_PR_057,"Given the user is on the product page
When the user selects a product
And clicks the add to cart button
Then the product should be added to the cart
And the cart count should increase by one",Properly Optimized,9,9,9,9
TC_PR_004,"Given the user is on the registration page
When the user fills in all required fields
And submits the form
Then the user should be registered successfully
And receive a welcome email",Properly Optimized,8,9,9,9
TC_PO_026,"Go to login page
Enter details
Click login
Should login",Poorly Optimized,2,2,2,1
TC_PO_007,"Open product page
Add product
Product should be added",Poorly Optimized,1,2,2,3
TC_PO_011,"Go to login page
Enter details
Click login
Should login",Poorly Optimized,1,1,3,2
TC_PR_034,"Given the user is on the registration page
When the user fills in all required fields
And submits the form
Then the user should be registered successfully
And receive a welcome email",Properly Optimized,9,8,8,9
TC_PO_036,"Go to login page
Enter details
Click login
Should login",Poorly Optimized,2,1,1,2
TC_MO_017,"Given the user is on the product page
When the user adds a product to the cart
Then the product should appear in the cart",Moderately Optimized,5,5,6,6
TC_MO_026,"Given the user is on the login page
When the user logs in with valid credentials
Then the user should see the dashboard",Moderately Optimized,5,5,6,5
TC_PR_041,"Given the user is on the login page
When the user enters valid credentials
And clicks the login button
Then the user should be redirected to the dashboard
And see a welcome message",Properly Optimized,8,9,9,9
TC_PR_079,"Given the user is on the registration page
When the user fills in all required fields
And submits the form
Then the user should be registered successfully
And receive a welcome email",Properly Optimized,9,8,8,9
TC_MO_047,"Given the user is on the product page
When the user adds a product to the cart
Then the product should appear in the cart",Moderately Optimized,6,6,5,6
TC_PR_081,"Given the user is on the login page
When the user enters valid credentials
And clicks the login button
Then the user should be redirected to the dashboard
And see a welcome message",Properly Optimized,8,8,8,9
TC_PR_061,"Given the user is on the login page
When the user enters valid credentials
And clicks the login button
Then the user should be redirected to the dashboard
And see a welcome message",Properly Optimized,8,9,8,8
TC_PO_043,"Checkout page
Enter payment
Payment done",Poorly Optimized,2,1,3,3
TC_MO_029,"Given the user is on the registration page
When the user fills in the fields
Then the user should be registered",Moderately Optimized,6,6,5,6
TC_PR_046,"Given the user is on the login page
When the user enters valid credentials
And clicks the login button
Then the user should be redirected to the dashboard
And see a welcome message",Properly Optimized,8,9,8,9
TC_PR_001,"Given the user is on the login page
When the user enters valid credentials
And clicks the login button
Then the user should be redirected to the dashboard
And see a welcome message",Properly Optimized,8,9,8,9
TC_PR_083,"Given the user is on the checkout page
When the user enters valid payment details
And confirms the payment
Then the payment should be processed successfully
And the user should see a confirmation message",Properly Optimized,9,8,9,8
TC_PO_006,"Go to login page
Enter details
Click login
Should login",Poorly Optimized,3,3,1,3
TC_PO_039,"On registration
Fill fields
Submit form
User registered",Poorly Optimized,1,2,3,2
TC_PR_033,"Given the user is on the checkout page
When the user enters valid payment details
And confirms the payment
Then the payment should be processed successfully
And the user should see a confirmation message",Properly Optimized,8,9,8,8
TC_PR_054,"Given the user is on the registration page
When the user fills in all required fields
And submits the form
Then the user should be registered successfully
And receive a welcome email",Properly Optimized,9,8,9,8
TC_PO_037,"Open product page
Add product
Product should be added",Poorly Optimized,1,2,3,1
TC_MO_011,"Given the user is on the login page
When the user logs in with valid credentials
Then the user should see the dashboard",Moderately Optimized,6,6,5,5
TC_PR_025,"Given the user is on the settings page
When the user updates their profile information
And saves the changes
Then the profile should be updated
And the user should see a success message",Properly Optimized,9,9,9,8
TC_PR_010,"Given the user is on the settings page
When the user updates their profile information
And saves the changes
Then the profile should be updated
And the user should see a success message",Properly Optimized,9,9,9,9
TC_PR_020,"Given the user is on the settings page
When the user updates their profile information
And saves the changes
Then the profile should be updated
And the user should see a success message",Properly Optimized,8,8,9,8
TC_MO_028,"Given the user is on the checkout page
When the user provides payment details
Then the payment should be processed",Moderately Optimized,5,5,6,6
TC_MO_046,"Given the user is on the login page
When the user logs in with valid credentials
Then the user should see the dashboard",Moderately Optimized,5,5,5,5
TC_MO_038,"Given the user is on the checkout page
When the user provides payment details
Then the payment should be processed",Moderately Optimized,5,5,6,5
TC_PR_089,"Given the user is on the registration page
When the user fills in all required fields
And submits the form
Then the user should be registered successfully
And receive a welcome email",Properly Optimized,8,9,8,9
TC_PR_021,"Given the user is on the login page
When the user enters valid credentials
And clicks the login button
Then the user should be redirected to the dashboard
And see a welcome message",Properly Optimized,9,9,9,9
TC_PO_023,"Checkout page
Enter payment
Payment done",Poorly Optimized,2,3,2,2
TC_MO_013,"Given the user is on the checkout page
When the user provides payment details
Then the payment should be processed",Moderately Optimized,5,6,6,6
TC_MO_024,"Given the user is on the registration page
When the user fills in the fields
Then the user should be registered",Moderately Optimized,6,5,5,5
TC_MO_019,"Given the user is on the registration page
When the user fills in the fields
Then the user should be registered",Moderately Optimized,5,5,5,6
TC_PR_007,"Given the user is on the product page
When the user selects a product
And clicks the add to cart button
Then the product should be added to the cart
And the cart count should increase by one",Properly Optimized,9,8,9,9
TC_PR_080,"Given the user is on the settings page
When the user updates their profile information
And saves the changes
Then the profile should be updated
And the user should see a success message",Properly Optimized,9,8,9,8
TC_MO_010,"Given the user is on the settings page
When the user updates profile information
Then the changes should be saved",Moderately Optimized,5,5,6,6
TC_PO_016,"Go to login page
Enter details
Click login
Should login",Poorly Optimized,2,1,1,2
TC_PR_078,"Given the user is on the checkout page
When the user enters valid payment details
And confirms the payment
Then the payment should be processed successfully
And the user should see a confirmation message",Properly Optimized,8,8,8,8
TC_PR_088,"Given the user is on the checkout page
When the user enters valid payment details
And confirms the payment
Then the payment should be processed successfully
And the user should see a confirmation message",Properly Optimized,9,8,9,8
TC_MO_032,"Given the user is on the product page
When the user adds a product to the cart
Then the product should appear in the cart",Moderately Optimized,5,5,5,6
TC_MO_001,"Given the user is on the login page
When the user logs in with valid credentials
Then the user should see the dashboard",Moderately Optimized,6,6,5,6
TC_PR_045,"Given the user is on the settings page
When the user updates their profile information
And saves the changes
Then the profile should be updated
And the user should see a success message",Properly Optimized,9,8,9,9
TC_MO_048,"Given the user is on the checkout page
When the user provides payment details
Then the payment should be processed",Moderately Optimized,5,5,6,6
TC_MO_027,"Given the user is on the product page
When the user adds a product to the cart
Then the product should appear in the cart",Moderately Optimized,5,5,5,5
TC_PO_050,"Settings page
Change profile
Save changes
Profile updated",Poorly Optimized,2,3,2,2
TC_PO_035,"Settings page
Change profile
Save changes
Profile updated",Poorly Optimized,2,1,3,2
TC_PO_028,"Checkout page
Enter payment
Payment done",Poorly Optimized,3,3,3,2
TC_PO_034,"On registration
Fill fields
Submit form
User registered",Poorly Optimized,2,1,2,1
TC_PO_020,"Settings page
Change profile
Save changes
Profile updated",Poorly Optimized,3,3,3,3
TC_PR_015,"Given the user is on the settings page
When the user updates their profile information
And saves the changes
Then the profile should be updated
And the user should see a success message",Properly Optimized,9,9,9,8
TC_PR_043,"Given the user is on the checkout page
When the user enters valid payment details
And confirms the payment
Then the payment should be processed successfully
And the user should see a confirmation message",Properly Optimized,8,9,9,8
TC_PR_022,"Given the user is on the product page
When the user selects a product
And clicks the add to cart button
Then the product should be added to the cart
And the cart count should increase by one",Properly Optimized,8,9,8,8
TC_PO_015,"Settings page
Change profile
Save changes
Profile updated",Poorly Optimized,2,2,1,1
TC_PR_006,"Given the user is on the login page
When the user enters valid credentials
And clicks the login button
Then the user should be redirected to the dashboard
And see a welcome message",Properly Optimized,9,8,9,8
TC_PO_001,"Go to login page
Enter details
Click login
Should login",Poorly Optimized,1,1,1,1
TC_PR_082,"Given the user is on the product page
When the user selects a product
And clicks the add to cart button
Then the product should be added to the cart
And the cart count should increase by one",Properly Optimized,8,9,9,9
TC_PR_068,"Given the user is on the checkout page
When the user enters valid payment details
And confirms the payment
Then the payment should be processed successfully
And the user should see a confirmation message",Properly Optimized,9,8,8,8
TC_PR_026,"Given the user is on the login page
When the user enters valid credentials
And clicks the login button
Then the user should be redirected to the dashboard
And see a welcome message",Properly Optimized,9,9,9,8
TC_MO_033,"Given the user is on the checkout page
When the user provides payment details
Then the payment should be processed",Moderately Optimized,5,5,6,5
TC_PR_062,"Given the user is on the product page
When the user selects a product
And clicks the add to cart button
Then the product should be added to the cart
And the cart count should increase by one",Properly Optimized,9,9,9,8
TC_PR_052,"Given the user is on the product page
When the user selects a product
And clicks the add to cart button
Then the product should be added to the cart
And the cart count should increase by one",Properly Optimized,9,8,8,8
TC_PO_025,"Settings page
Change profile
Save changes
Profile updated",Poorly Optimized,1,3,3,2
TC_PR_075,"Given the user is on the settings page
When the user updates their profile information
And saves the changes
Then the profile should be updated
And the user should see a success message",Properly Optimized,8,8,8,9
TC_MO_034,"Given the user is on the registration page
When the user fills in the fields
Then the user should be registered",Moderately Optimized,6,6,6,5
TC_PO_042,"Open product page
Add product
Product should be added",Poorly Optimized,1,3,1,1
TC_PR_091,"Given the user is on the login page
When the user enters valid credentials
And clicks the login button
Then the user should be redirected to the dashboard
And see a welcome message",Properly Optimized,9,9,9,9
TC_PO_048,"Checkout page
Enter payment
Payment done",Poorly Optimized,2,2,1,3
TC_PR_085,"Given the user is on the settings page
When the user updates their profile information
And saves the changes
Then the profile should be updated
And the user should see a success message",Properly Optimized,8,9,9,8
TC_MO_005,"Given the user is on the settings page
When the user updates profile information
Then the changes should be saved",Moderately Optimized,6,5,5,6
TC_PR_066,"Given the user is on the login page
When the user enters valid credentials
And clicks the login button
Then the user should be redirected to the dashboard
And see a welcome message",Properly Optimized,8,9,8,8
TC_PO_047,"Open product page
Add product
Product should be added",Poorly Optimized,3,1,2,3
TC_MO_014,"Given the user is on the registration page
When the user fills in the fields
Then the user should be registered",Moderately Optimized,6,5,6,6
TC_MO_042,"Given the user is on the product page
When the user adds a product to the cart
Then the product should appear in the cart",Moderately Optimized,6,6,6,6
TC_PO_040,"Settings page
Change profile
Save changes
Profile updated",Poorly Optimized,1,3,2,1
TC_PO_008,"Checkout page
Enter payment
Payment done",Poorly Optimized,1,1,3,1
TC_PR_014,"Given the user is on the registration page
When the user fills in all required fields
And submits the form
Then the user should be registered successfully
And receive a welcome email",Properly Optimized,9,9,8,9
TC_PO_044,"On registration
Fill fields
Submit form
User registered",Poorly Optimized,3,3,2,1
TC_PO_012,"Open product page
Add product
Product should be added",Poorly Optimized,2,3,3,2
TC_PR_038,"Given the user is on the checkout page
When the user enters valid payment details
And confirms the payment
Then the payment should be processed successfully
And the user should see a confirmation message",Properly Optimized,8,9,8,8
TC_PR_076,"Given the user is on the login page
When the user enters valid credentials
And clicks the login button
Then the user should be redirected to the dashboard
And see a welcome message",Properly Optimized,9,9,8,9
TC_PR_016,"Given the user is on the login page
When the user enters valid credentials
And clicks the login button
Then the user should be redirected to the dashboard
And see a welcome message",Properly Optimized,8,9,9,8
TC_PO_049,"On registration
Fill fields
Submit form
User registered",Poorly Optimized,1,1,3,3
TC_PR_084,"Given the user is on the registration page
When the user fills in all required fields
And submits the form
Then the user should be registered successfully
And receive a welcome email",Properly Optimized,9,9,8,8
TC_MO_043,"Given the user is on the checkout page
When the user provides payment details
Then the payment should be processed",Moderately Optimized,5,6,6,5
TC_PO_002,"Open product page
Add product
Product should be added",Poorly Optimized,1,1,3,1
TC_PR_065,"Given the user is on the settings page
When the user updates their profile information
And saves the changes
Then the profile should be updated
And the user should see a success message",Properly Optimized,9,9,8,9
TC_MO_008,"Given the user is on the checkout page
When the user provides payment details
Then the payment should be processed",Moderately Optimized,5,5,5,6
TC_MO_039,"Given the user is on the registration page
When the user fills in the fields
Then the user should be registered",Moderately Optimized,6,6,5,5
TC_PO_032,"Open product page
Add product
Product should be added",Poorly Optimized,1,1,2,3
TC_MO_018,"Given the user is on the checkout page
When the user provides payment details
Then the payment should be processed",Moderately Optimized,6,6,5,5
TC_MO_004,"Given the user is on the registration page
When the user fills in the fields
Then the user should be registered",Moderately Optimized,5,5,6,6
TC_MO_015,"Given the user is on the settings page
When the user updates profile information
Then the changes should be saved",Moderately Optimized,6,5,5,5
TC_PR_092,"Given the user is on the product page
When the user selects a product
And clicks the add to cart button
Then the product should be added to the cart
And the cart count should increase by one",Properly Optimized,9,9,8,8
TC_PR_023,"Given the user is on the checkout page
When the user enters valid payment details
And confirms the payment
Then the payment should be processed successfully
And the user should see a confirmation message",Properly Optimized,8,8,8,8
TC_PO_013,"Checkout page
Enter payment
Payment done",Poorly Optimized,2,2,2,2
TC_PO_021,"Go to login page
Enter details
Click login
Should login",Poorly Optimized,1,3,1,3
TC_PO_041,"Go to login page
Enter details
Click login
Should login",Poorly Optimized,3,1,3,2
TC_MO_040,"Given the user is on the settings page
When the user updates profile information
Then the changes should be saved",Moderately Optimized,6,5,6,5
TC_PO_029,"On registration
Fill fields
Submit form
User registered",Poorly Optimized,3,1,3,3
TC_MO_045,"Given the user is on the settings page
When the user updates profile information
Then the changes should be saved",Moderately Optimized,6,5,6,6
TC_PR_012,"Given the user is on the product page
When the user selects a product
And clicks the add to cart button
Then the product should be added to the cart
And the cart count should increase by one",Properly Optimized,8,9,9,8
TC_MO_044,"Given the user is on the registration page
When the user fills in the fields
Then the user should be registered",Moderately Optimized,6,5,6,5
TC_PO_004,"On registration
Fill fields
Submit form
User registered",Poorly Optimized,2,2,3,2
TC_MO_021,"Given the user is on the login page
When the user logs in with valid credentials
Then the user should see the dashboard",Moderately Optimized,6,6,6,5
TC_MO_006,"Given the user is on the login page
When the user logs in with valid credentials
Then the user should see the dashboard",Moderately Optimized,6,5,5,6
TC_PR_055,"Given the user is on the settings page
When the user updates their profile information
And saves the changes
Then the profile should be updated
And the user should see a success message",Properly Optimized,9,8,8,9
TC_PR_047,"Given the user is on the product page
When the user selects a product
And clicks the add to cart button
Then the product should be added to the cart
And the cart count should increase by one",Properly Optimized,9,8,8,9
TC_PR_031,"Given the user is on the login page
When the user enters valid credentials
And clicks the login button
Then the user should be redirected to the dashboard
And see a welcome message",Properly Optimized,8,8,8,8
TC_PR_077,"Given the user is on the product page
When the user selects a product
And clicks the add to cart button
Then the product should be added to the cart
And the cart count should increase by one",Properly Optimized,9,9,8,9
TC_PO_046,"Go to login page
Enter details
Click login
Should login",Poorly Optimized,2,1,2,3
TC_PO_024,"On registration
Fill fields
Submit form
User registered",Poorly Optimized,1,1,2,3
TC_MO_050,"Given the user is on the settings page
When the user updates profile information
Then the changes should be saved",Moderately Optimized,6,5,5,5
TC_PO_027,"Open product page
Add product
Product should be added",Poorly Optimized,1,2,1,2
TC_MO_016,"Given the user is on the login page
When the user logs in with valid credentials
Then the user should see the dashboard",Moderately Optimized,6,6,5,6
TC_PR_030,"Given the user is on the settings page
When the user updates their profile information
And saves the changes
Then the profile should be updated
And the user should see a success message",Properly Optimized,8,9,9,8
TC_PR_098,"Given the user is on the checkout page
When the user enters valid payment details
And confirms the payment
Then the payment should be processed successfully
And the user should see a confirmation message",Properly Optimized,9,8,8,9
TC_PR_035,"Given the user is on the settings page
When the user updates their profile information
And saves the changes
Then the profile should be updated
And the user should see a success message",Properly Optimized,9,9,8,9
TC_MO_002,"Given the user is on the product page
When the user adds a product to the cart
Then the product should appear in the cart",Moderately Optimized,6,6,6,6
TC_PR_002,"Given the user is on the product page
When the user selects a product
And clicks the add to cart button
Then the product should be added to the cart
And the cart count should increase by one",Properly Optimized,9,8,9,8
TC_PO_033,"Checkout page
Enter payment
Payment done",Poorly Optimized,3,1,3,2
TC_PO_038,"Checkout page
Enter payment
Payment done",Poorly Optimized,2,3,3,2
TC_PR_086,"Given the user is on the login page
When the user enters valid credentials
And clicks the login button
Then the user should be redirected to the dashboard
And see a welcome message",Properly Optimized,8,8,8,9
TC_PR_003,"Given the user is on the checkout page
When the user enters valid payment details
And confirms the payment
Then the payment should be processed successfully
And the user should see a confirmation message",Properly Optimized,8,8,8,9
TC_PR_058,"Given the user is on the checkout page
When the user enters valid payment details
And confirms the payment
Then the payment should be processed successfully
And the user should see a confirmation message",Properly Optimized,9,8,9,9
TC_MO_025,"Given the user is on the settings page
When the user updates profile information
Then the changes should be saved",Moderately Optimized,6,6,5,5
TC_PR_044,"Given the user is on the registration page
When the user fills in all required fields
And submits the form
Then the user should be registered successfully
And receive a welcome email",Properly Optimized,8,9,9,9
TC_PR_067,"Given the user is on the product page
When the user selects a product
And clicks the add to cart button
Then the product should be added to the cart
And the cart count should increase by one",Properly Optimized,8,8,9,8
TC_PR_050,"Given the user is on the settings page
When the user updates their profile information
And saves the changes
Then the profile should be updated
And the user should see a success message",Properly Optimized,9,9,9,9
TC_PR_008,"Given the user is on the checkout page
When the user enters valid payment details
And confirms the payment
Then the payment should be processed successfully
And the user should see a confirmation message",Properly Optimized,8,9,9,8
TC_MO_049,"Given the user is on the registration page
When the user fills in the fields
Then the user should be registered",Moderately Optimized,6,6,6,6
TC_PO_010,"Settings page
Change profile
Save changes
Profile updated",Poorly Optimized,3,1,1,1
TC_PR_027,"Given the user is on the product page
When the user selects a product
And clicks the add to cart button
Then the product should be added to the cart
And the cart count should increase by one",Properly Optimized,8,8,8,9
TC_PO_022,"Open product page
Add product
Product should be added",Poorly Optimized,3,3,1,1
TC_PR_005,"Given the user is on the settings page
When the user updates their profile information
And saves the changes
Then the profile should be updated
And the user should see a success message",Properly Optimized,9,8,8,9
TC_MO_030,"Given the user is on the settings page
When the user updates profile information
Then the changes should be saved",Moderately Optimized,6,5,5,6
TC_PR_060,"Given the user is on the settings page
When the user updates their profile information
And saves the changes
Then the profile should be updated
And the user should see a success message",Properly Optimized,9,8,8,8
TC_PR_049,"Given the user is on the registration page
When the user fills in all required fields
And submits the form
Then the user should be registered successfully
And receive a welcome email",Properly Optimized,8,8,9,8
TC_PR_013,"Given the user is on the checkout page
When the user enters valid payment details
And confirms the payment
Then the payment should be processed successfully
And the user should see a confirmation message",Properly Optimized,9,9,8,9
TC_PO_019,"On registration
Fill fields
Submit form
User registered",Poorly Optimized,3,3,1,1
TC_PR_070,"Given the user is on the settings page
When the user updates their profile information
And saves the changes
Then the profile should be updated
And the user should see a success message",Properly Optimized,9,9,9,9
TC_MO_023,"Given the user is on the checkout page
When the user provides payment details
Then the payment should be processed",Moderately Optimized,5,6,6,6
TC_PO_045,"Settings page
Change profile
Save changes
Profile updated",Poorly Optimized,2,1,1,1
TC_MO_036,"Given the user is on the login page
When the user logs in with valid credentials
Then the user should see the dashboard",Moderately Optimized,6,6,6,6
TC_PR_073,"Given the user is on the checkout page
When the user enters valid payment details
And confirms the payment
Then the payment should be processed successfully
And the user should see a confirmation message",Properly Optimized,9,9,9,9
TC_MO_031,"Given the user is on the login page
When the user logs in with valid credentials
Then the user should see the dashboard",Moderately Optimized,6,5,6,5
TC_PO_014,"On registration
Fill fields
Submit form
User registered",Poorly Optimized,1,3,1,2
TC_PR_097,"Given the user is on the product page
When the user selects a product
And clicks the add to cart button
Then the product should be added to the cart
And the cart count should increase by one",Properly Optimized,8,9,9,8
TC_PR_036,"Given the user is on the login page
When the user enters valid credentials
And clicks the login button
Then the user should be redirected to the dashboard
And see a welcome message",Properly Optimized,9,8,9,9
TC_MO_009,"Given the user is on the registration page
When the user fills in the fields
Then the user should be registered",Moderately Optimized,6,5,5,5
TC_PO_017,"Open product page
Add product
Product should be added",Poorly Optimized,1,3,3,3
TC_PR_032,"Given the user is on the product page
When the user selects a product
And clicks the add to cart button
Then the product should be added to the cart
And the cart count should increase by one",Properly Optimized,8,9,9,9
TC_PR_042,"Given the user is on the product page
When the user selects a product
And clicks the add to cart button
Then the product should be added to the cart
And the cart count should increase by one",Properly Optimized,8,9,9,8
